Product_code,Product_Category,Date ,Product_Demand,Rate
Product_0338,Category_021,10-01-2012,40,8
Product_0338,Category_021,10-01-2012,13,8
Product_0338,Category_021,11-01-2012,30,8
Product_0338,Category_021,17-01-2012,16,8
Product_0338,Category_021,18-01-2012,2,8
Product_0338,Category_021,19-01-2012,30,8
Product_0338,Category_021,19-01-2012,9,8
Product_0338,Category_021,19-01-2012,2,8
Product_0338,Category_021,27-01-2012,70,8
Product_0338,Category_021,30-01-2012,2,8
Product_0338,Category_021,07-02-2012,2,8
Product_0338,Category_021,15-02-2012,2,8
Product_0338,Category_021,21-02-2012,1,8
Product_0338,Category_021,22-02-2012,2,8
Product_0338,Category_021,23-02-2012,2,8
Product_0338,Category_021,28-02-2012,6,8
Product_0338,Category_021,01-03-2012,8,8
Product_0338,Category_021,02-03-2012,5,8
Product_0338,Category_021,02-03-2012,1,8
Product_0338,Category_021,02-03-2012,1,8
Product_0338,Category_021,05-03-2012,2,8
Product_0338,Category_021,06-03-2012,6,8
Product_0338,Category_021,06-03-2012,1,8
Product_0338,Category_021,08-03-2012,7,8
Product_0338,Category_021,09-03-2012,1,8
Product_0338,Category_021,13-03-2012,3,8
Product_0338,Category_021,13-03-2012,2,8
Product_0338,Category_021,15-03-2012,100,8
Product_0338,Category_021,15-03-2012,6,8
Product_0338,Category_021,27-03-2012,1,8
Product_0338,Category_021,12-04-2012,2,8
Product_0338,Category_021,18-04-2012,5,8
Product_0338,Category_021,19-04-2012,1,8
Product_0338,Category_021,20-04-2012,5,8
Product_0338,Category_021,23-04-2012,6,8
Product_0338,Category_021,24-04-2012,2,8
Product_0338,Category_021,27-04-2012,1,8
Product_0338,Category_021,16-05-2012,3,8
Product_0338,Category_021,17-05-2012,2,8
Product_0338,Category_021,18-05-2012,1,8
Product_0338,Category_021,24-05-2012,29,8
Product_0338,Category_021,29-05-2012,100,8
Product_0338,Category_021,29-05-2012,2,8
Product_0338,Category_021,31-05-2012,1,8
Product_0338,Category_021,01-06-2012,1,8
Product_0338,Category_021,04-06-2012,2,8
Product_0338,Category_021,06-06-2012,5,8
Product_0338,Category_021,06-06-2012,3,8
Product_0338,Category_021,08-06-2012,1,8
Product_0338,Category_021,14-06-2012,1,8
Product_0338,Category_021,28-06-2012,4,8
Product_0338,Category_021,29-06-2012,9,8
