Product_code,Product_Category,Date ,Product_Demand,Rate
Product_0251,Category_007,05-01-2012,1,8
Product_0251,Category_007,06-01-2012,3,8
Product_0251,Category_007,12-01-2012,1,8
Product_0251,Category_007,17-01-2012,5,8
Product_0251,Category_007,20-01-2012,20,8
Product_0251,Category_007,20-01-2012,15,8
Product_0251,Category_007,20-01-2012,2,8
Product_0251,Category_007,24-01-2012,50,8
Product_0251,Category_007,25-01-2012,1,8
Product_0251,Category_007,31-01-2012,5,8
Product_0251,Category_007,01-02-2012,1,8
Product_0251,Category_007,03-02-2012,2,8
Product_0251,Category_007,08-02-2012,2,8
Product_0251,Category_007,10-02-2012,60,8
Product_0251,Category_007,10-02-2012,40,8
Product_0251,Category_007,13-02-2012,50,8
Product_0251,Category_007,16-02-2012,1,8
Product_0251,Category_007,16-02-2012,1,8
Product_0251,Category_007,01-03-2012,5,8
Product_0251,Category_007,02-03-2012,10,8
Product_0251,Category_007,02-03-2012,1,8
Product_0251,Category_007,09-03-2012,3,8
Product_0251,Category_007,12-03-2012,1,8
Product_0251,Category_007,13-03-2012,2,8
Product_0251,Category_007,13-03-2012,2,8
Product_0251,Category_007,16-03-2012,10,8
Product_0251,Category_007,16-03-2012,6,8
Product_0251,Category_007,16-03-2012,4,8
Product_0251,Category_007,21-03-2012,50,8
Product_0251,Category_007,26-03-2012,1,8
Product_0251,Category_007,28-03-2012,1,8
Product_0251,Category_007,12-04-2012,5,8
Product_0251,Category_007,17-04-2012,2,8
Product_0251,Category_007,18-04-2012,3,8
Product_0251,Category_007,19-04-2012,2,8
Product_0251,Category_007,25-04-2012,3,8
Product_0251,Category_007,01-05-2012,10,8
Product_0251,Category_007,02-05-2012,1,8
Product_0251,Category_007,08-05-2012,2,8
Product_0251,Category_007,15-05-2012,10,8
Product_0251,Category_007,17-05-2012,5,8
Product_0251,Category_007,21-05-2012,10,8
Product_0251,Category_007,25-05-2012,4,8
Product_0251,Category_007,29-05-2012,2,8
Product_0251,Category_007,31-05-2012,1,8
Product_0251,Category_007,12-06-2012,2,8
Product_0251,Category_007,15-06-2012,5,8
Product_0251,Category_007,15-06-2012,2,8
Product_0251,Category_007,20-06-2012,5,8
Product_0251,Category_007,29-06-2012,2,8
Product_0251,Category_007,02-07-2012,6,8
Product_0251,Category_007,03-07-2012,2,8
Product_0251,Category_007,09-07-2012,10,8
Product_0251,Category_007,10-07-2012,1,8
Product_0251,Category_007,12-07-2012,5,8
Product_0251,Category_007,13-07-2012,6,8
Product_0251,Category_007,23-07-2012,50,8
Product_0251,Category_007,26-07-2012,2,8
Product_0251,Category_007,27-07-2012,10,8
Product_0251,Category_007,01-08-2012,4,8
Product_0251,Category_007,01-08-2012,1,8
Product_0251,Category_007,03-08-2012,50,8
Product_0251,Category_007,03-08-2012,2,8
Product_0251,Category_007,06-08-2012,1,8
Product_0251,Category_007,07-08-2012,5,8
Product_0251,Category_007,07-08-2012,1,8
Product_0251,Category_007,09-08-2012,1,8
Product_0251,Category_007,20-08-2012,1,8
Product_0251,Category_007,27-08-2012,2,8
Product_0251,Category_007,29-08-2012,1,8
Product_0251,Category_007,07-09-2012,1,8
Product_0251,Category_007,12-09-2012,5,8
Product_0251,Category_007,14-09-2012,1,8
Product_0251,Category_007,20-09-2012,5,8
Product_0251,Category_007,24-09-2012,2,8
Product_0251,Category_007,11-10-2012,50,8
Product_0251,Category_007,11-10-2012,2,8
Product_0251,Category_007,16-10-2012,1,8
Product_0251,Category_007,17-10-2012,3,8
Product_0251,Category_007,25-10-2012,1,8
Product_0251,Category_007,26-10-2012,10,8
Product_0251,Category_007,30-10-2012,2,8
Product_0251,Category_007,07-11-2012,2,8
Product_0251,Category_007,09-11-2012,30,8
Product_0251,Category_007,12-11-2012,1,8
Product_0251,Category_007,13-11-2012,5,8
Product_0251,Category_007,13-11-2012,1,8
Product_0251,Category_007,20-11-2012,1,8
Product_0251,Category_007,21-11-2012,5,8
Product_0251,Category_007,26-11-2012,1,8
Product_0251,Category_007,28-11-2012,1,8
Product_0251,Category_007,10-12-2012,1,8
Product_0251,Category_007,10-12-2012,1,8
Product_0251,Category_007,14-12-2012,2,8
Product_0251,Category_007,17-12-2012,10,8
Product_0251,Category_007,17-12-2012,2,8
Product_0251,Category_007,17-12-2012,1,8
Product_0251,Category_007,19-12-2012,2,8
Product_0251,Category_007,21-12-2012,50,8
Product_0251,Category_007,25-12-2012,1,8
Product_0251,Category_007,07-01-2013,1,8
Product_0251,Category_007,09-01-2013,10,8
Product_0251,Category_007,09-01-2013,5,8
Product_0251,Category_007,09-01-2013,2,8
Product_0251,Category_007,15-01-2013,1,8
Product_0251,Category_007,21-01-2013,2,8
Product_0251,Category_007,23-01-2013,4,8
Product_0251,Category_007,24-01-2013,3,8
Product_0251,Category_007,28-01-2013,20,8
Product_0251,Category_007,29-01-2013,10,8
Product_0251,Category_007,01-02-2013,2,8
Product_0251,Category_007,04-02-2013,10,8
Product_0251,Category_007,06-02-2013,5,8
Product_0251,Category_007,07-02-2013,2,8
Product_0251,Category_007,07-02-2013,2,8
Product_0251,Category_007,08-02-2013,3,8
Product_0251,Category_007,14-02-2013,1,8
Product_0251,Category_007,15-02-2013,5,8
Product_0251,Category_007,15-02-2013,3,8
Product_0251,Category_007,25-02-2013,10,8
Product_0251,Category_007,25-02-2013,1,8
Product_0251,Category_007,04-03-2013,10,8
Product_0251,Category_007,05-03-2013,1,8
Product_0251,Category_007,14-03-2013,1,8
Product_0251,Category_007,18-03-2013,10,8
Product_0251,Category_007,18-03-2013,4,8
Product_0251,Category_007,19-03-2013,3,8
Product_0251,Category_007,19-03-2013,1,8
Product_0251,Category_007,21-03-2013,2,8
Product_0251,Category_007,21-03-2013,1,8
Product_0251,Category_007,22-03-2013,2,8
Product_0251,Category_007,25-03-2013,20,8
Product_0251,Category_007,26-03-2013,4,8
Product_0251,Category_007,01-04-2013,1,8
Product_0251,Category_007,02-04-2013,1,8
Product_0251,Category_007,02-04-2013,1,8
Product_0251,Category_007,05-04-2013,1,8
Product_0251,Category_007,10-04-2013,10,8
Product_0251,Category_007,10-04-2013,1,8
Product_0251,Category_007,11-04-2013,1,8
Product_0251,Category_007,15-04-2013,3,8
Product_0251,Category_007,17-04-2013,10,8
Product_0251,Category_007,17-04-2013,5,8
Product_0251,Category_007,17-04-2013,1,8
Product_0251,Category_007,23-04-2013,2,8
Product_0251,Category_007,25-04-2013,50,8
Product_0251,Category_007,25-04-2013,5,8
Product_0251,Category_007,25-04-2013,1,8
Product_0251,Category_007,02-05-2013,3,8
Product_0251,Category_007,14-05-2013,2,8
Product_0251,Category_007,15-05-2013,10,8
Product_0251,Category_007,17-05-2013,6,8
Product_0251,Category_007,20-05-2013,4,8
Product_0251,Category_007,21-05-2013,10,8
Product_0251,Category_007,03-06-2013,2,8
Product_0251,Category_007,07-06-2013,1,8
Product_0251,Category_007,11-06-2013,1,8
Product_0251,Category_007,12-06-2013,2,8
Product_0251,Category_007,20-06-2013,1,8
Product_0251,Category_007,26-06-2013,1,8
Product_0251,Category_007,01-07-2013,10,8
Product_0251,Category_007,09-07-2013,1,8
Product_0251,Category_007,10-07-2013,10,8
Product_0251,Category_007,18-07-2013,1,8
Product_0251,Category_007,25-07-2013,5,8
Product_0251,Category_007,25-07-2013,1,8
Product_0251,Category_007,31-07-2013,3,8
Product_0251,Category_007,05-08-2013,1,8
Product_0251,Category_007,06-08-2013,1,8
Product_0251,Category_007,08-08-2013,4,8
Product_0251,Category_007,09-08-2013,10,8
Product_0251,Category_007,09-08-2013,2,8
Product_0251,Category_007,12-08-2013,5,8
Product_0251,Category_007,12-08-2013,1,8
Product_0251,Category_007,19-08-2013,20,8
Product_0251,Category_007,19-08-2013,10,8
Product_0251,Category_007,23-08-2013,10,8
Product_0251,Category_007,23-08-2013,10,8
Product_0251,Category_007,23-08-2013,1,8
Product_0251,Category_007,28-08-2013,10,8
Product_0251,Category_007,30-08-2013,50,8
Product_0251,Category_007,30-08-2013,1,8
Product_0251,Category_007,02-09-2013,2,8
Product_0251,Category_007,02-09-2013,1,8
Product_0251,Category_007,09-09-2013,4,8
Product_0251,Category_007,10-09-2013,1,8
Product_0251,Category_007,17-09-2013,2,8
Product_0251,Category_007,17-09-2013,2,8
Product_0251,Category_007,24-09-2013,1,8
Product_0251,Category_007,25-09-2013,1,8
Product_0251,Category_007,04-10-2013,10,8
Product_0251,Category_007,04-10-2013,2,8
Product_0251,Category_007,04-10-2013,2,8
Product_0251,Category_007,04-10-2013,1,8
Product_0251,Category_007,09-10-2013,10,8
Product_0251,Category_007,11-10-2013,10,8
Product_0251,Category_007,17-10-2013,1,8
Product_0251,Category_007,24-10-2013,5,8
Product_0251,Category_007,30-10-2013,10,8
Product_0251,Category_007,31-10-2013,1,8
Product_0251,Category_007,11-11-2013,1,8
Product_0251,Category_007,12-11-2013,1,8
Product_0251,Category_007,19-11-2013,10,8
Product_0251,Category_007,22-11-2013,10,8
Product_0251,Category_007,22-11-2013,10,8
Product_0251,Category_007,22-11-2013,1,8
Product_0251,Category_007,28-11-2013,4,8
Product_0251,Category_007,10-12-2013,20,8
Product_0251,Category_007,13-12-2013,2,8
Product_0251,Category_007,19-12-2013,50,8
Product_0251,Category_007,20-12-2013,1,8
Product_0251,Category_007,07-01-2014,3,8
Product_0251,Category_007,14-01-2014,2,8
Product_0251,Category_007,20-01-2014,1,8
Product_0251,Category_007,27-01-2014,30,8
Product_0251,Category_007,28-01-2014,1,8
Product_0251,Category_007,30-01-2014,20,8
Product_0251,Category_007,10-02-2014,8,8
Product_0251,Category_007,10-02-2014,5,8
Product_0251,Category_007,10-02-2014,3,8
Product_0251,Category_007,13-02-2014,1,8
Product_0251,Category_007,13-02-2014,1,8
Product_0251,Category_007,17-02-2014,2,8
Product_0251,Category_007,26-02-2014,50,8
Product_0251,Category_007,28-02-2014,10,8
Product_0251,Category_007,03-03-2014,1,8
Product_0251,Category_007,06-03-2014,1,8
Product_0251,Category_007,07-03-2014,5,8
Product_0251,Category_007,07-03-2014,3,8
Product_0251,Category_007,07-03-2014,3,8
Product_0251,Category_007,10-03-2014,20,8
Product_0251,Category_007,11-03-2014,30,8
Product_0251,Category_007,12-03-2014,1,8
Product_0251,Category_007,14-03-2014,1,8
Product_0251,Category_007,17-03-2014,50,8
Product_0251,Category_007,26-03-2014,5,8
Product_0251,Category_007,31-03-2014,10,8
Product_0251,Category_007,01-04-2014,1,8
Product_0251,Category_007,15-04-2014,1,8
Product_0251,Category_007,17-04-2014,1,8
Product_0251,Category_007,21-04-2014,2,8
Product_0251,Category_007,23-04-2014,2,8
Product_0251,Category_007,25-04-2014,10,8
Product_0251,Category_007,02-06-2014,1,8
Product_0251,Category_007,03-06-2014,2,8
Product_0251,Category_007,11-06-2014,1,8
Product_0251,Category_007,19-06-2014,2,8
Product_0251,Category_007,23-06-2014,2,8
Product_0251,Category_007,01-07-2014,2,8
Product_0251,Category_007,04-07-2014,4,8
Product_0251,Category_007,07-07-2014,1,8
Product_0251,Category_007,11-07-2014,50,8
Product_0251,Category_007,17-07-2014,20,8
Product_0251,Category_007,17-07-2014,10,8
Product_0251,Category_007,22-07-2014,1,8
Product_0251,Category_007,29-07-2014,2,8
Product_0251,Category_007,31-07-2014,1,8
Product_0251,Category_007,28-08-2014,10,8
Product_0251,Category_007,29-08-2014,2,8
Product_0251,Category_007,05-09-2014,10,8
Product_0251,Category_007,05-09-2014,4,8
Product_0251,Category_007,09-09-2014,2,8
Product_0251,Category_007,10-09-2014,1,8
Product_0251,Category_007,18-09-2014,2,8
Product_0251,Category_007,22-09-2014,2,8
Product_0251,Category_007,25-09-2014,2,8
Product_0251,Category_007,25-09-2014,1,8
Product_0251,Category_007,02-10-2014,5,8
Product_0251,Category_007,02-10-2014,2,8
Product_0251,Category_007,02-10-2014,1,8
Product_0251,Category_007,09-10-2014,10,8
Product_0251,Category_007,21-10-2014,1,8
Product_0251,Category_007,06-11-2014,1,8
Product_0251,Category_007,11-11-2014,50,8
Product_0251,Category_007,12-11-2014,2,8
Product_0251,Category_007,03-12-2014,1,8
Product_0251,Category_007,10-12-2014,20,8
Product_0251,Category_007,12-12-2014,2,8
